ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
1896258,G749215,12/15/2001 02:00:00 AM,011XX N STATE ST,0460,BATTERY,SIMPLE,STREET,false,false,1824,018,,,08B,,,2001,08/17/2015 03:03:40 PM,,,,,,,,,,,
11034701,JA366925,01/01/2001 11:00:00 AM,016XX E 86TH PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0412,004,8,45,11,,,2001,08/05/2017 03:50:08 PM,,,,,,,,,,,
1744168,G553545,09/15/2001 02:00:00 AM,013XX W POLK ST,0460,BATTERY,SIMPLE,STREET,false,false,1213,012,,,08B,,,2001,08/17/2015 03:03:40 PM,,,,,,,,,,,
1833988,G666677,11/02/2001 06:30:00 PM,002XX W CONGRESS PW,0810,THEFT,OVER $500,OTHER,false,false,0131,001,,,06,,,2001,08/17/2015 03:03:40 PM,,,,,,,,,,,
11231026,JB152500,01/01/2001 12:00:00 AM,050XX N ASHLAND AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,false,false,2032,020,47,3,02,,,2001,10/27/2018 04:00:07 PM,,,,,,,,,,,
1635570,G418259,03/15/2001 04:00:00 AM,093XX S GENOA AV,0810,THEFT,OVER $500,OTHER,false,false,2223,022,,,06,,,2001,08/17/2015 03:03:40 PM,,,,,,,,,,,
11606723,JC165537,10/02/2001 04:30:00 PM,104XX S CALHOUN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0434,004,10,51,11,,,2001,03/02/2019 04:09:55 PM,,,,,,,,,,,
11616662,JC177632,01/01/2001 09:00:00 AM,075XX S PHILLIPS AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,0421,004,7,43,11,,,2001,03/09/2019 04:05:42 PM,,,,,,,,,,,
11055109,JA391845,08/15/2001 12:01:00 AM,024XX N KEDZIE BLVD,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,false,false,1413,014,35,22,11,,,2001,08/19/2017 03:50:07 PM,,,,,,,,,,,
11260401,JB191329,09/19/2001 12:00:00 PM,027XX N SPAULDING AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,false,false,1412,014,35,22,11,,,2001,03/24/2018 03:57:17 PM,,,,,,,,,,,
1635114,G418225,07/14/2001 04:00:00 PM,006XX W HUTCHINSON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,2323,019,,,07,,,2001,08/17/2015 03:03:40 PM,,,,,,,,,,,
1450059,G178878,03/29/2001 03:20:00 PM,007XX W MONTROSE AV,0810,THEFT,OVER $500,STREET,false,false,2313,019,,,06,,,2001,08/17/2015 03:03:40 PM,,,,,,,,,,,
1846643,G673581,11/08/2001 04:18:38 PM,014XX N KILPATRICK AV,2027,NARCOTICS,POSS: CRACK,STREET,true,false,2533,025,,,18,,,2001,08/17/2015 03:03:40 PM,,,,,,,,,,,
1688067,G484600,08/14/2001 10:00:00 PM,003XX W SCOTT ST,0810,THEFT,OVER $500,STREET,false,false,1821,018,,,06,,,2001,08/17/2015 03:03:40 PM,,,,,,,,,,,
1763057,G578965,09/26/2001 09:30:00 PM,007XX E BOWEN AV,0820,THEFT,$500 AND UNDER,STREET,false,false,0213,002,,,06,,,2001,08/17/2015 03:03:40 PM,,,,,,,,,,,
1763065,G578967,09/26/2001 09:30:00 PM,007XX E BOWEN AV,0820,THEFT,$500 AND UNDER,STREET,false,false,0213,002,,,06,,,2001,08/17/2015 03:03:40 PM,,,,,,,,,,,
