ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11641644,JC207234,03/31/2019 09:30:00 AM,005XX N ogden ave,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,1215,012,1,24,06,,,2019,04/07/2019 04:05:59 PM,,,,,,,,,,,
11642710,JC209088,03/31/2019 01:00:00 AM,015XX N WELLS ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1821,018,27,8,06,,,2019,04/07/2019 04:05:59 PM,,,,,,,,,,,
11642709,JC208560,03/31/2019 11:00:00 AM,0000X E MONROE ST,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,false,false,0112,001,42,32,06,,,2019,04/07/2019 04:05:59 PM,,,,,,,,,,,
11641640,JC207466,03/31/2019 12:30:00 PM,037XX W Ogden Ave,0820,THEFT,$500 AND UNDER,ATHLETIC CLUB,false,false,1014,010,24,29,06,,,2019,04/07/2019 04:05:59 PM,,,,,,,,,,,
11644829,JC211523,04/01/2019 03:00:00 PM,005XX W ARLINGTON PL,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1935,019,43,7,06,,,2019,04/08/2019 04:19:35 PM,,,,,,,,,,,
11647702,JC214957,02/23/2019 11:00:00 PM,0000X E 75TH ST,0820,THEFT,$500 AND UNDER,BAR OR TAVERN,false,false,0623,006,6,69,06,,,2019,04/08/2019 04:19:35 PM,,,,,,,,,,,
11642696,JC209087,04/01/2019 12:00:00 AM,021XX W Crystal St,0810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,false,false,1424,014,2,24,06,,,2019,04/08/2019 04:19:35 PM,,,,,,,,,,,
11642705,JC208563,04/01/2019 08:25:00 PM,026XX N DAYTON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1935,019,43,7,26,,,2019,04/08/2019 04:19:35 PM,,,,,,,,,,,
11860426,JC472216,10/13/2019 10:00:00 AM,042XX W WAVELAND AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1731,017,45,16,06,1147456,1924255,2019,10/20/2019 04:03:03 PM,41.948117311,-87.733386199,"(41.948117311, -87.733386199)",25,22618,16,295,50,21,1,25
11642699,JC209083,04/02/2019 11:44:00 AM,016XX W LUNT AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,2423,024,49,1,06,,,2019,04/09/2019 04:24:58 PM,,,,,,,,,,,
11648807,JC216267,04/01/2019 11:00:00 AM,057XX S KIMBARK AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,0235,002,5,41,06,,,2019,04/09/2019 04:24:58 PM,,,,,,,,,,,
11863860,JC476294,10/06/2019 09:46:00 PM,075XX S PAXTON AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,0414,004,7,43,11,1192180,1855367,2019,10/20/2019 03:56:02 PM,41.758109495,-87.571240136,"(41.758109495, -87.571240136)",43,22538,39,420,37,24,19,222
11859643,JC471456,10/13/2019 05:31:00 PM,047XX W MONROE ST,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,SIDEWALK,true,false,1113,011,28,25,15,1144756,1899145,2019,10/20/2019 04:03:03 PM,41.87926429,-87.743945195,"(41.87926429, -87.743945195)",11,22216,26,69,23,32,16,90
11866059,JC478759,09/24/2019 09:20:00 PM,014XX W Estes Ave,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,2423,024,49,1,06,,,2019,10/20/2019 04:03:03 PM,,,,,,,,,,,
11649963,JC217297,02/25/2019 09:00:00 AM,009XX N Racine Ave,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1213,012,27,24,11,,,2019,04/10/2019 04:14:14 PM,,,,,,,,,,,
11864422,JC476033,10/13/2019 03:01:00 AM,0000X W HURON ST,0810,THEFT,OVER $500,RESIDENCE,false,false,1832,018,2,8,06,1175614,1905055,2019,10/20/2019 04:03:03 PM,41.89484426,-87.630462495,"(41.89484426, -87.630462495)",22,4446,37,670,11,55,14,72
11643816,JC209931,04/03/2019 09:15:00 AM,079XX S LANGLEY AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0624,006,6,44,06,,,2019,04/10/2019 04:14:14 PM,,,,,,,,,,,
11651121,JC219544,03/20/2019 08:01:00 AM,035XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,0212,002,4,35,06,,,2019,04/11/2019 04:07:22 PM,,,,,,,,,,,
11651104,JC219502,03/23/2019 12:02:00 PM,030XX S PARNELL AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,0914,009,11,60,06,,,2019,04/11/2019 04:07:22 PM,,,,,,,,,,,
11651110,JC219498,04/01/2019 12:40:00 PM,105XX S GREEN BAY AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,false,false,0432,004,10,52,11,,,2019,04/11/2019 04:07:22 PM,,,,,,,,,,,
11645224,JC212415,04/05/2019 07:10:00 AM,001XX W IDA B WELLS DR,0810,THEFT,OVER $500,CTA TRAIN,false,false,0121,001,4,32,06,,,2019,04/12/2019 04:08:18 PM,,,,,,,,,,,
11648809,JC216002,04/05/2019 07:30:00 PM,105XX S EGGLESTON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,false,false,2233,022,34,49,08A,,,2019,04/12/2019 04:08:18 PM,,,,,,,,,,,
11647199,JC213690,04/05/2019 09:35:00 AM,023XX N LISTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1432,014,32,22,14,,,2019,04/12/2019 04:08:18 PM,,,,,,,,,,,
11647703,JC214820,04/06/2019 03:40:00 PM,0000X S LA SALLE ST,0820,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,false,false,0122,001,42,32,06,,,2019,04/13/2019 04:01:56 PM,,,,,,,,,,,
11649982,JC218074,04/07/2019 10:00:00 PM,049XX W BELDEN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2522,025,36,19,06,,,2019,04/14/2019 04:04:11 PM,,,,,,,,,,,
11649989,JC218177,04/08/2019 01:20:00 PM,0000X N LA SALLE ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,0122,001,42,32,06,,,2019,04/15/2019 04:11:49 PM,,,,,,,,,,,
11655258,JC224569,04/01/2019 05:30:00 PM,017XX W DIVISION ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,1424,014,1,24,06,,,2019,04/15/2019 04:11:49 PM,,,,,,,,,,,
11649939,JC218092,04/08/2019 05:01:00 AM,023XX W ADAMS ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1223,012,27,28,06,,,2019,04/15/2019 04:11:49 PM,,,,,,,,,,,
11652229,JC219246,04/09/2019 04:45:00 PM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0112,001,42,32,06,,,2019,04/16/2019 04:21:50 PM,,,,,,,,,,,
11703067,JC282181,05/28/2019 07:50:00 AM,009XX N MICHIGAN AVE,0810,THEFT,OVER $500,HOTEL/MOTEL,false,false,1833,018,42,8,06,,,2019,06/04/2019 04:10:41 PM,,,,,,,,,,,
11863985,JC476351,01/16/2019 09:00:00 AM,038XX W 67TH PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0833,008,13,65,11,1151952,1859570,2019,10/20/2019 03:56:02 PM,41.77052655,-87.71856226,"(41.77052655, -87.71856226)",23,21867,63,317,15,58,13,209
11709915,JC290844,04/29/2019 07:30:00 PM,051XX N WESTERN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,DRUG STORE,false,false,2031,020,40,4,11,,,2019,06/04/2019 04:10:41 PM,,,,,,,,,,,
11703075,JC282267,05/28/2019 12:50:00 PM,001XX S STATE ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,0112,001,42,32,06,,,2019,06/04/2019 04:10:41 PM,,,,,,,,,,,
11860440,JC472341,10/13/2019 11:00:00 PM,028XX N HAMLIN AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,2523,025,30,21,06,1150569,1918516,2019,10/20/2019 04:03:03 PM,41.932308669,-87.722093817,"(41.932308669, -87.722093817)",27,21538,22,71,21,39,6,175
11859264,JC470909,10/13/2019 06:40:00 AM,012XX S KARLOV AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,1011,010,24,29,14,1149246,1894056,2019,10/20/2019 04:03:03 PM,41.865213688,-87.727590376,"(41.865213688, -87.727590376)",36,21569,30,761,14,57,21,155
11606707,JC165261,02/22/2019 05:30:00 PM,0000X E erie st,0890,THEFT,FROM BUILDING,ATHLETIC CLUB,false,false,1834,018,42,8,06,,,2019,03/01/2019 04:09:34 PM,,,,,,,,,,,
