ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11055175,JA391951,09/01/2004 04:00:00 PM,033XX W BERTEAU AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,APARTMENT,false,false,1724,017,33,16,26,,,2004,08/19/2017 03:50:07 PM,,,,,,,,,,,
11259134,JB189756,01/01/2004 12:00:00 PM,061XX N FRANCISCO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,false,2413,024,50,2,08B,,,2004,05/05/2018 03:52:27 PM,,,,,,,,,,,
10448858,HZ187919,06/14/2004 12:00:00 AM,030XX W PALMER BLVD,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,true,true,1414,014,32,22,02,,,2004,10/27/2018 04:00:07 PM,,,,,,,,,,,
10992884,JA319706,06/23/2004 07:00:00 AM,034XX W BEACH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1422,014,26,23,11,,,2004,06/24/2017 03:50:57 PM,,,,,,,,,,,
10287446,HY467807,08/29/2004 12:00:00 AM,055XX S PRAIRIE AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,false,false,0231,002,20,40,02,,,2004,05/06/2017 03:49:59 PM,,,,,,,,,,,
3218241,HK230580,03/10/2004 03:30:00 AM,046XX W GLADYS AVE,0261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,VEHICLE NON-COMMERCIAL,false,false,1131,011,24,25,02,,,2004,06/17/2017 03:52:27 PM,,,,,,,,,,,
10291086,HY478963,08/27/2004 09:00:00 AM,083XX S CLYDE AVE,1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,APARTMENT,false,false,0412,004,8,46,11,,,2004,10/31/2015 03:56:20 PM,,,,,,,,,,,
11298349,JB241184,01/01/2004 12:01:00 AM,068XX S MERRILL AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,false,0331,003,5,43,02,,,2004,05/05/2018 03:54:51 PM,,,,,,,,,,,
11370372,JB336595,02/01/2004 12:00:00 AM,061XX N BROADWAY,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,2433,024,48,77,11,,,2004,07/07/2018 03:59:10 PM,,,,,,,,,,,
11394455,JB368201,01/01/2004 12:00:00 AM,072XX N DAMEN AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,false,true,2424,024,49,1,02,,,2004,03/21/2020 03:44:56 PM,,,,,,,,,,,
11415830,JB395793,12/01/2004 10:00:00 PM,045XX S ROCKWELL ST,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,false,true,0922,009,15,58,02,,,2004,10/27/2018 04:00:07 PM,,,,,,,,,,,
11423921,JB405953,10/01/2004 12:01:00 AM,053XX W DRUMMOND PL,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,false,true,2514,025,31,19,02,,,2004,09/15/2018 03:55:51 PM,,,,,,,,,,,
11432410,JB414061,03/10/2004 12:01:00 AM,023XX S SAWYER AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,1024,010,12,30,08B,,,2004,10/27/2018 04:00:07 PM,,,,,,,,,,,
11439546,JB426256,06/01/2004 11:00:00 AM,018XX S HARDING AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1014,010,24,29,11,,,2004,09/08/2018 04:01:32 PM,,,,,,,,,,,
11449330,JB439007,09/01/2004 09:55:00 AM,034XX W WALNUT ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1123,011,28,27,11,,,2004,09/22/2018 04:01:14 PM,,,,,,,,,,,
11460002,JB452782,09/08/2004 10:20:00 AM,096XX S FOREST AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0511,005,9,49,11,,,2004,10/27/2018 04:00:07 PM,,,,,,,,,,,
11469650,JB466287,12/08/2004 09:00:00 AM,020XX W ARMITAGE AVE,1120,DECEPTIVE PRACTICE,FORGERY,CURRENCY EXCHANGE,false,false,1432,014,32,22,10,,,2004,10/13/2018 03:59:35 PM,,,,,,,,,,,
11137347,JA495728,07/14/2004 12:00:00 PM,056XX S WESTERN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,false,false,0824,008,15,63,11,,,2004,10/27/2018 04:00:07 PM,,,,,,,,,,,
11496026,JB501121,07/22/2004 08:00:00 PM,019XX N WINCHESTER AVE,0264,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,false,true,1434,014,32,22,02,,,2004,11/03/2018 04:10:06 PM,,,,,,,,,,,
11511702,JB521541,01/16/2004 12:01:00 AM,094XX S THROOP ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,true,true,2222,022,21,73,02,,,2004,01/26/2019 04:02:53 PM,,,,,,,,,,,
10419899,HZ157886,11/01/2004 12:00:00 AM,033XX W MADISON ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,true,true,1124,011,28,27,02,,,2004,03/02/2019 04:02:21 PM,,,,,,,,,,,
3118463,HK104911,01/03/2004 03:30:00 AM,011XX N HOYNE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1312,012,32,24,06,,,2004,02/04/2016 06:33:39 AM,,,,,,,,,,,
3153184,HK149620,01/26/2004 05:30:00 PM,047XX W 59TH ST,0560,ASSAULT,SIMPLE,CTA BUS,false,false,0813,008,13,64,08A,,,2004,02/04/2016 06:33:39 AM,,,,,,,,,,,
3147721,HK124481,01/13/2004 08:17:59 PM,036XX W FIFTH AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,true,false,1133,011,28,27,26,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3151205,HK146998,01/12/2004 12:01:00 AM,036XX W FIFTH AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,"SCHOOL, PUBLIC, BUILDING",true,false,1133,011,28,27,17,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3151532,HK145273,01/25/2004 01:00:00 PM,015XX W 13TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,true,false,1231,012,2,28,26,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3154812,HK150197,01/25/2004 11:30:00 AM,015XX W 13TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,false,false,1231,012,2,28,14,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3164709,HK164651,01/01/2004 07:00:00 AM,005XX N BESSIE COLEMAN DR,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",STREET,false,false,1651,016,41,76,11,,,2004,02/04/2016 06:33:39 AM,,,,,,,,,,,
3171213,HK123621,01/13/2004 08:00:00 PM,042XX W FIFTH AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1132,011,24,26,18,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3171677,HK173614,02/09/2004 03:00:00 PM,022XX W MAYPOLE AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,CHA PARKING LOT/GROUNDS,true,false,1332,012,2,28,04A,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3177219,HK126881,01/15/2004 02:03:03 PM,049XX S LAKE SHORE DR SB,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,HOTEL/MOTEL,true,false,2132,002,4,39,18,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3180772,HK181107,02/13/2004 02:25:00 PM,015XX W 13TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,CHA HALLWAY/STAIRWELL/ELEVATOR,true,false,1231,012,2,28,15,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3276944,HK306807,04/16/2004 11:30:00 PM,014XX N AUSTIN BLVD,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,2531,025,29,25,06,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3198793,HK204763,02/25/2004 01:06:00 PM,043XX W FIFTH AVE,0820,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, GROUNDS",false,false,1131,011,24,26,06,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3771236,HK794024,12/06/2004 10:30:00 PM,030XX W JACKSON BLVD,2027,NARCOTICS,POSS: CRACK,HOTEL/MOTEL,true,false,1124,011,28,27,18,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3207673,HK209081,02/28/2004 02:00:00 AM,036XX W FIFTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,false,true,1133,011,28,27,08B,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3208429,HK223011,03/06/2004 02:20:00 AM,015XX W 13TH ST,0460,BATTERY,SIMPLE,RESIDENCE,false,false,1231,012,2,28,08B,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3210245,HK224900,03/07/2004 01:30:00 AM,030XX W FIFTH AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1124,011,28,27,03,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3211813,HK227390,02/11/2004 12:00:00 PM,103XX S DOTY AVE E,0820,THEFT,$500 AND UNDER,OTHER,false,false,0434,004,10,51,06,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3214130,HK229510,03/09/2004 02:50:44 PM,015XX W 13TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,true,false,1231,012,2,28,26,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3214139,HK219214,03/04/2004 08:47:49 AM,043XX W FIFTH AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",false,false,1131,011,24,26,04B,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3215577,HK230033,03/09/2004 07:10:00 PM,015XX W 13TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,true,false,1231,012,2,28,26,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
6047747,HP144323,09/01/2004 09:00:00 AM,004XX E 89TH ST,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,0633,006,6,44,06,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3215887,HK174334,02/09/2004 07:40:00 PM,015XX W 13TH ST,2027,NARCOTICS,POSS: CRACK,CHA PARKING LOT/GROUNDS,true,false,1231,012,2,28,18,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3219426,HK234892,03/10/2004 02:50:00 PM,033XX W CARMEN AVE,0460,BATTERY,SIMPLE,STREET,false,false,1713,017,39,13,08B,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3223672,HK241064,03/15/2004 01:07:19 PM,004XX E WACKER RAMP,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,OTHER,false,false,0124,001,42,32,11,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3229027,HK248453,03/18/2004 11:40:00 PM,015XX W 13TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,true,false,1231,012,2,28,26,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3230061,HK196170,02/21/2004 01:13:56 PM,029XX W FIFTH AVE,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,STREET,true,false,1124,011,2,27,18,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3276938,HK302930,04/15/2004 11:15:10 AM,016XX S DRAKE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,true,false,1021,010,24,29,06,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
3276941,HK306808,04/16/2004 05:00:00 PM,107XX S EDBROOKE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0513,005,9,49,14,,,2004,08/17/2015 03:03:40 PM,,,,,,,,,,,
