ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
13032945,JG212426,10/23/2022 12:00:00 PM,006XX W IRVING PARK RD,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,true,1925,019,46,6,26,,,2022,04/06/2023 05:05:58 PM,,,,,,,,,,,
12713141,JF259485,05/29/2022 12:00:00 AM,014XX S MUSEUM CAMPUS DR,0870,THEFT,POCKET-PICKING,SPORTS ARENA / STADIUM,false,false,0132,001,4,33,06,,,2022,06/05/2022 04:48:59 PM,,,,,,,,,,,
13032436,JG211735,04/20/2022 12:01:00 AM,039XX S CALIFORNIA AVE,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,POLICE FACILITY / VEHICLE PARKING LOT,false,false,0921,009,12,58,17,,,2022,04/06/2023 05:05:58 PM,,,,,,,,,,,
13032916,JG212285,12/14/2022 03:35:00 PM,007XX E 40TH ST,0890,THEFT,FROM BUILDING,SCHOOL - PRIVATE BUILDING,false,false,0214,002,4,38,06,,,2022,04/06/2023 05:05:58 PM,,,,,,,,,,,
12871591,JF449106,10/17/2022 05:24:00 PM,022XX N KEELER AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,false,false,2525,025,35,20,06,,,2022,10/26/2022 04:52:31 PM,,,,,,,,,,,
12600669,JF122951,01/24/2022 05:30:00 PM,018XX W GRAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1221,012,36,24,07,1164069,1903522,2022,07/06/2023 04:46:09 PM,41.890889291,-87.672907259,"(41.890889291, -87.672907259)",10,21560,25,519,46,4,15,80
12757467,JF313006,07/10/2022 08:00:00 PM,007XX W 54TH PL,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0935,009,16,61,05,1172394,1868734,2022,07/06/2023 04:46:09 PM,41.7952482,-87.643360273,"(41.7952482, -87.643360273)",12,14924,59,84,4,37,23,117
12770469,JF328862,07/23/2022 04:00:00 PM,069XX W 64TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0812,008,13,64,08B,1131307,1860969,2022,07/06/2023 04:46:09 PM,41.774745709,-87.794208216,"(41.774745709, -87.794208216)",35,22268,62,336,6,7,13,272
12776417,JF335627,07/29/2022 03:09:00 AM,052XX N NAGLE AVE,0550,ASSAULT,AGGRAVATED POLICE OFFICER - HANDGUN,STREET,false,false,1613,016,41,10,04A,1132572,1934567,2022,07/06/2023 04:46:09 PM,41.976687342,-87.787856137,"(41.976687342, -87.787856137)",34,21869,36,699,50,31,12,49
12863160,JF439075,10/18/2022 12:00:00 AM,005XX S CENTRAL AVE,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,SIDEWALK,false,false,1522,015,29,25,17,1139141,1897035,2022,07/06/2023 04:46:09 PM,41.873578134,-87.764614167,"(41.873578134, -87.764614167)",52,22216,26,68,7,32,25,97
