ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11039126,JA371798,01/01/2007 12:01:00 AM,009XX N DRAKE AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,false,1121,011,27,23,02,,,2007,10/21/2017 03:44:12 PM,,,,,,,,,,,
11042861,JA374153,01/01/2007 12:01:00 AM,026XX W 21ST ST,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,false,1023,010,28,30,02,,,2007,10/21/2017 03:44:12 PM,,,,,,,,,,,
11042938,JA377035,01/01/2007 12:01:00 AM,019XX N HARLEM AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,DAY CARE CENTER,false,false,2513,025,36,25,02,,,2007,08/19/2017 03:48:07 PM,,,,,,,,,,,
11027485,JA358748,11/15/2007 12:00:00 AM,115XX S WENTWORTH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0522,005,34,53,11,,,2007,07/29/2017 03:56:00 PM,,,,,,,,,,,
5741943,HN549294,08/25/2007 09:22:18 AM,074XX N ROGERS AVE,0560,ASSAULT,SIMPLE,OTHER,false,false,2422,024,49,1,08A,,,2007,08/17/2015 03:03:40 PM,,,,,,,,,,,
11610200,JC169791,04/01/2007 02:00:00 PM,059XX N PAULINA ST,0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,APARTMENT,false,true,2012,020,40,77,02,,,2007,03/21/2020 03:44:56 PM,,,,,,,,,,,
11608384,JC167611,06/07/2007 08:00:00 AM,068XX S JEFFERY BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0332,003,5,43,11,,,2007,03/02/2019 04:09:55 PM,,,,,,,,,,,
10812424,JA111645,10/29/2007 06:00:00 AM,053XX S HOYNE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,0932,009,16,61,11,,,2007,01/14/2017 03:49:38 PM,,,,,,,,,,,
11256191,JB185921,01/01/2007 12:00:00 AM,055XX S ALBANY AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,true,false,0824,008,14,63,02,,,2007,05/26/2018 03:46:29 PM,,,,,,,,,,,
11634550,JC199497,06/20/2007 08:00:00 PM,057XX S PRAIRIE AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,ABANDONED BUILDING,false,false,0232,002,20,40,17,,,2007,03/30/2019 04:05:30 PM,,,,,,,,,,,
