ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11646166,JC213529,09/01/2018 12:01:00 AM,082XX S INGLESIDE AVE,0810,THEFT,OVER $500,RESIDENCE,false,true,0631,006,8,44,06,,,2018,04/06/2019 04:04:43 PM,,,,,,,,,,,
11449702,JB373031,07/31/2018 01:30:00 PM,009XX E HYDE PARK BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,0233,002,5,41,18,,,2018,04/09/2019 04:24:58 PM,,,,,,,,,,,
11645648,JC212959,01/01/2018 08:00:00 AM,024XX N MONITOR AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,2515,025,30,19,11,,,2018,04/06/2019 04:04:43 PM,,,,,,,,,,,
11645959,JC211511,12/20/2018 04:00:00 PM,045XX N ALBANY AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1724,017,33,14,08A,,,2018,04/06/2019 04:04:43 PM,,,,,,,,,,,
11645557,JC212685,04/01/2018 12:01:00 AM,080XX S VERNON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0631,006,6,44,11,,,2018,04/06/2019 04:04:43 PM,,,,,,,,,,,
11646293,JC213749,12/20/2018 03:00:00 PM,023XX N LOCKWOOD AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,false,false,2515,025,36,19,11,,,2018,04/06/2019 04:04:43 PM,,,,,,,,,,,
11645568,JC212803,12/18/2018 11:00:00 AM,032XX N WILTON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1924,019,44,6,11,,,2018,04/06/2019 04:04:43 PM,,,,,,,,,,,
11223717,JB141803,02/04/2018 03:25:00 PM,044XX W WASHINGTON BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1113,011,28,26,11,,,2018,02/11/2018 03:57:41 PM,,,,,,,,,,,
11641400,JC207897,07/26/2018 01:00:00 PM,041XX N KEELER AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,1722,017,39,16,11,,,2018,04/02/2019 04:10:50 PM,,,,,,,,,,,
11646766,JC214025,01/01/2018 09:10:00 AM,019XX N KENMORE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1811,018,43,7,11,,,2018,04/07/2019 04:05:59 PM,,,,,,,,,,,
11243511,JB168893,02/20/2018 04:21:00 PM,005XX W ARLINGTON PL,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,1935,019,43,7,06,,,2018,03/01/2018 03:54:55 PM,,,,,,,,,,,
11223707,JB141873,02/05/2018 12:00:00 AM,061XX N KENMORE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2433,024,48,77,26,,,2018,02/12/2018 03:49:14 PM,,,,,,,,,,,
11646565,JC212945,11/01/2018 12:00:00 PM,089XX S SOUTH CHICAGO AVE,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,GAS STATION,false,false,0423,004,7,46,07,,,2018,04/07/2019 04:05:59 PM,,,,,,,,,,,
11228287,JB148482,01/03/2018 03:45:00 PM,0000X W C1 ST,0810,THEFT,OVER $500,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,false,false,1651,016,41,76,06,,,2018,02/12/2018 03:49:14 PM,,,,,,,,,,,
11646550,JC214099,10/04/2018 12:00:00 PM,092XX S PERRY AVE,1120,DECEPTIVE PRACTICE,FORGERY,OTHER,false,false,0634,006,21,49,10,,,2018,04/07/2019 04:05:59 PM,,,,,,,,,,,
11646393,JC213889,12/01/2018 08:00:00 AM,026XX W 25TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1034,010,24,30,11,,,2018,04/07/2019 04:05:59 PM,,,,,,,,,,,
11225457,JB144550,02/05/2018 06:00:00 PM,013XX N LA SALLE DR,0890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,false,false,1821,018,43,8,06,,,2018,02/12/2018 03:49:14 PM,,,,,,,,,,,
11647549,JC214237,06/07/2018 03:00:00 PM,102XX S EGGLESTON AVE,0820,THEFT,$500 AND UNDER,OTHER,false,false,2232,022,9,73,06,,,2018,04/09/2019 04:17:05 PM,,,,,,,,,,,
11647398,JC215016,06/01/2018 03:00:00 PM,038XX W FLOURNOY ST,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,RESIDENCE,false,false,1133,011,24,26,20,,,2018,04/08/2019 04:19:35 PM,,,,,,,,,,,
11648173,JC216048,11/01/2018 12:00:00 AM,062XX S MARSHFIELD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,0714,007,16,67,11,,,2018,04/08/2019 04:19:35 PM,,,,,,,,,,,
11647523,JC215281,11/11/2018 12:01:00 AM,016XX W WALLEN AVE,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,APARTMENT,false,false,2432,024,49,1,12,,,2018,04/08/2019 04:19:35 PM,,,,,,,,,,,
11224569,JB143064,02/06/2018 08:01:00 AM,035XX S ARCHER AVE,0560,ASSAULT,SIMPLE,VEHICLE NON-COMMERCIAL,false,false,0912,009,11,59,08A,,,2018,02/13/2018 03:58:53 PM,,,,,,,,,,,
11645849,JC209353,11/27/2018 08:43:00 PM,0000X E CERMAK RD,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,TAVERN/LIQUOR STORE,true,false,0131,001,3,33,22,,,2018,04/09/2019 04:17:05 PM,,,,,,,,,,,
11445072,JB415614,08/30/2018 07:45:00 PM,031XX W HARRISON ST,2027,NARCOTICS,POSS: CRACK,POLICE FACILITY/VEH PARKING LOT,true,false,1134,011,24,27,18,,,2018,04/13/2019 03:55:48 PM,,,,,,,,,,,
11450064,JB383147,08/07/2018 11:37:00 AM,035XX W 16TH ST,2017,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,true,false,1021,010,24,29,18,,,2018,04/09/2019 04:24:58 PM,,,,,,,,,,,
11451058,JB397122,08/17/2018 10:15:00 AM,038XX W MONROE ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,true,false,1122,011,28,26,18,,,2018,04/09/2019 04:24:58 PM,,,,,,,,,,,
11448699,JB398659,08/18/2018 12:48:00 PM,003XX E 111TH ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,true,false,0513,005,9,49,18,,,2018,04/09/2019 04:24:58 PM,,,,,,,,,,,
11450076,JB389971,08/12/2018 09:21:00 AM,001XX W 105TH ST,2017,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,true,false,0512,005,34,49,18,,,2018,04/09/2019 04:24:58 PM,,,,,,,,,,,
11648485,JC216504,11/01/2018 12:00:00 AM,076XX S PAXTON AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,0414,004,8,43,11,,,2018,04/09/2019 04:24:58 PM,,,,,,,,,,,
