ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11645833,JC213044,05/05/2012 12:25:00 PM,057XX W OHIO ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1511,015,29,25,11,,,2012,04/06/2019 04:04:43 PM,,,,,,,,,,,
11227247,JB147078,01/01/2012 09:00:00 AM,105XX S INDIANAPOLIS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0432,004,10,52,11,,,2012,02/11/2018 03:57:41 PM,,,,,,,,,,,
11228588,JB149037,06/04/2012 12:00:00 PM,037XX W 85TH PL,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,0834,008,18,70,11,,,2012,02/12/2018 03:49:14 PM,,,,,,,,,,,
10751224,HZ513641,01/01/2012 08:00:00 AM,010XX S MAYFIELD AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,false,1513,015,29,25,20,,,2012,07/27/2017 03:50:07 PM,,,,,,,,,,,
11032112,JA364633,10/01/2012 12:00:00 AM,002XX W WASHINGTON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0122,001,42,32,11,,,2012,07/27/2017 03:50:07 PM,,,,,,,,,,,
11648237,JC216157,01/01/2012 12:00:00 PM,115XX S CAMPBELL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,2212,022,19,75,11,,,2012,04/09/2019 04:24:58 PM,,,,,,,,,,,
11648597,JC216578,01/01/2012 12:00:00 AM,071XX S LOWE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0732,007,6,68,11,,,2012,04/09/2019 04:24:58 PM,,,,,,,,,,,
10898807,HV349976,06/06/2012 01:30:00 PM,006XX E 60TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE-GARAGE,false,false,0313,003,20,42,15,,,2012,08/10/2017 03:56:38 PM,,,,,,,,,,,
11033040,JA365661,03/22/2012 12:01:00 AM,005XX W 14TH PL,1120,DECEPTIVE PRACTICE,FORGERY,BANK,false,false,0124,001,2,28,10,,,2012,07/29/2017 03:52:50 PM,,,,,,,,,,,
11244255,JB169720,01/01/2012 12:01:00 AM,019XX N LA CROSSE AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,APARTMENT,false,false,2533,025,31,19,17,,,2012,03/02/2018 03:54:48 PM,,,,,,,,,,,
11230974,JB152462,08/06/2012 12:01:00 AM,058XX S NORDICA AVE,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,false,false,0811,008,23,56,02,,,2012,02/16/2018 03:51:14 PM,,,,,,,,,,,
11050829,JA386641,09/01/2012 12:00:00 AM,004XX N RIDGEWAY AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1122,011,27,23,11,,,2012,08/12/2017 03:49:53 PM,,,,,,,,,,,
11051925,JA387941,01/01/2012 12:01:00 AM,052XX N SHERIDAN RD,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,false,false,2023,020,48,77,02,,,2012,08/13/2017 03:52:59 PM,,,,,,,,,,,
11652252,JC220506,02/11/2012 07:25:00 AM,062XX S EVANS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0313,003,20,42,11,,,2012,04/12/2019 04:08:18 PM,,,,,,,,,,,
11235695,JB158911,09/01/2012 12:01:00 AM,007XX E 40TH ST,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,"SCHOOL, PRIVATE, BUILDING",false,false,0214,002,4,38,02,,,2012,02/21/2018 03:57:53 PM,,,,,,,,,,,
11655969,JC225381,01/01/2012 12:00:00 AM,001XX W RANDOLPH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,0122,001,42,32,08B,,,2012,04/16/2019 04:21:50 PM,,,,,,,,,,,
11241469,JB166493,03/01/2012 09:00:00 AM,016XX E 69TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0332,003,5,43,11,,,2012,02/27/2018 03:59:52 PM,,,,,,,,,,,
10579715,HZ328636,01/01/2012 12:00:00 AM,007XX E 105TH PL,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,0512,005,9,50,17,,,2012,06/30/2016 03:51:05 PM,,,,,,,,,,,
11610104,JC169694,11/13/2012 12:00:00 AM,010XX N MAYFIELD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1511,015,29,25,11,,,2012,03/01/2019 04:09:34 PM,,,,,,,,,,,
11609440,JC168831,12/28/2012 12:00:00 AM,068XX S WABASH AVE,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,APARTMENT,false,false,0322,003,6,69,02,,,2012,03/01/2019 04:09:34 PM,,,,,,,,,,,
11611547,JC171407,09/01/2012 10:20:00 AM,017XX N LOTUS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,VEHICLE NON-COMMERCIAL,false,false,2532,025,37,25,11,,,2012,03/03/2019 04:04:46 PM,,,,,,,,,,,
11614404,JC175068,09/01/2012 12:00:00 PM,023XX S HOYNE AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,true,1034,010,25,31,17,,,2012,05/15/2019 04:13:51 PM,,,,,,,,,,,
11616272,JC177287,08/01/2012 12:00:00 PM,085XX S MORGAN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0613,006,21,71,11,,,2012,03/08/2019 04:36:43 PM,,,,,,,,,,,
10652358,HZ402425,04/20/2012 09:00:00 AM,022XX E 70TH ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,APARTMENT,false,false,0331,003,5,43,11,,,2012,08/23/2016 03:51:31 PM,,,,,,,,,,,
11248976,JB170105,01/01/2012 12:01:00 AM,087XX S ABERDEEN ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,false,2222,022,21,71,20,,,2012,03/07/2018 04:15:21 PM,,,,,,,,,,,
11627107,JC190683,02/16/2012 12:01:00 AM,002XX W 117TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0522,005,34,53,11,,,2012,03/19/2019 04:21:52 PM,,,,,,,,,,,
11561303,JC109911,01/21/2012 12:00:00 AM,022XX S KEELER AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,true,true,1013,010,22,29,02,,,2012,06/03/2019 04:14:23 PM,,,,,,,,,,,
10811010,JA110284,10/31/2012 09:00:00 AM,046XX W DIVERSEY AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,GOVERNMENT BUILDING/PROPERTY,false,false,2521,025,31,20,11,,,2012,01/11/2017 03:52:20 PM,,,,,,,,,,,
11628925,JC192614,06/10/2012 04:00:00 PM,001XX W 47TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,STREET,false,false,0215,002,3,38,11,,,2012,03/21/2019 04:15:13 PM,,,,,,,,,,,
10811545,JA110552,03/04/2012 12:00:00 PM,001XX E CHICAGO AVE,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,RESIDENCE,false,false,1833,018,42,8,11,,,2012,01/11/2017 03:52:20 PM,,,,,,,,,,,
